
=== Timestamp: 5.0s ===
    Direction Vectors (relative to neck):
      neck -> nose: (-3.0, 108.1)
      neck -> left_eye: (-24.9, 129.7)
      neck -> right_eye: (29.8, 126.3)
      neck -> left_ear: (-57.4, 115.4)
      neck -> right_ear: (64.2, 108.3)
      neck -> left_shoulder: (-107.3, -0.6)
      neck -> right_shoulder: (110.6, -1.9)
      neck -> left_elbow: (-216.7, -92.3)
      neck -> left_wrist: (-360.4, -158.4)
      neck -> left_hip: (-89.4, -338.6)
      neck -> right_hip: (45.1, -339.2)
    Direction Vectors (relative to neck):
      neck -> nose: (32.9, 102.7)
      neck -> left_eye: (13.7, 128.5)
      neck -> right_eye: (65.4, 114.2)
      neck -> left_ear: (-35.3, 110.9)
      neck -> right_ear: (88.4, 85.6)
      neck -> left_shoulder: (-119.8, -2.5)
      neck -> right_shoulder: (118.6, 1.9)
      neck -> right_elbow: (176.2, -141.7)

=== Timestamp: 10.0s ===
    Direction Vectors (relative to neck):
      neck -> nose: (71.5, 108.9)
      neck -> left_eye: (49.6, 130.1)
      neck -> right_eye: (78.5, 125.9)
      neck -> left_ear: (-20.1, 110.5)
      neck -> left_shoulder: (-96.9, -5.1)
      neck -> right_shoulder: (101.3, 6.5)
      neck -> left_elbow: (-253.5, -39.8)
      neck -> right_elbow: (268.6, -18.0)
      neck -> left_wrist: (-262.4, 65.1)
      neck -> right_wrist: (241.0, 144.3)
      neck -> left_hip: (-63.5, -364.1)
      neck -> right_hip: (89.3, -362.5)
    Direction Vectors (relative to neck):
      neck -> nose: (7.9, 104.5)
      neck -> left_eye: (-17.5, 127.0)
      neck -> right_eye: (34.4, 124.7)
      neck -> left_ear: (-57.4, 111.0)
      neck -> right_ear: (63.7, 105.5)
      neck -> left_shoulder: (-129.3, -5.2)
      neck -> right_shoulder: (124.5, 9.2)
      neck -> left_elbow: (-210.0, -155.3)
      neck -> right_elbow: (193.0, -143.3)

=== Timestamp: 15.0s ===
    Direction Vectors (relative to neck):
      neck -> nose: (-10.3, 113.1)
      neck -> left_eye: (-33.1, 131.0)
      neck -> right_eye: (14.8, 129.9)
      neck -> left_ear: (-62.1, 113.5)
      neck -> right_ear: (46.4, 110.5)
      neck -> left_shoulder: (-105.3, -7.7)
      neck -> right_shoulder: (103.4, 7.5)
      neck -> left_elbow: (-177.8, -121.3)
      neck -> left_wrist: (-224.6, -224.6)
      neck -> left_hip: (-74.7, -333.6)
      neck -> right_hip: (83.2, -325.9)
      neck -> left_knee: (-82.4, -539.5)
      neck -> right_knee: (75.7, -539.5)
    Direction Vectors (relative to neck):
      neck -> nose: (-8.4, 125.5)
      neck -> left_eye: (-30.2, 142.7)
      neck -> right_eye: (16.8, 142.1)
      neck -> left_ear: (-62.0, 127.4)
      neck -> right_ear: (52.6, 123.9)
      neck -> left_shoulder: (-105.8, 0.8)
      neck -> right_shoulder: (104.2, -0.5)
      neck -> left_elbow: (-136.0, -134.7)
      neck -> right_elbow: (137.3, -134.5)
      neck -> left_wrist: (-149.8, -291.0)
      neck -> right_wrist: (142.3, -220.7)
      neck -> left_hip: (-50.0, -238.3)
      neck -> right_hip: (80.4, -228.8)
      neck -> left_knee: (-34.1, -427.7)
    Direction Vectors (relative to neck):
      neck -> nose: (17.4, 105.3)
      neck -> left_eye: (-8.6, 130.9)
      neck -> right_eye: (45.2, 124.6)
      neck -> left_ear: (-54.4, 118.4)
      neck -> right_ear: (75.2, 105.6)
      neck -> left_shoulder: (-125.4, -8.5)
      neck -> right_shoulder: (126.0, 13.4)
      neck -> left_elbow: (-203.6, -147.0)
      neck -> right_elbow: (189.0, -129.9)

=== Timestamp: 20.1s ===
    Direction Vectors (relative to neck):
      neck -> nose: (1.1, 106.1)
      neck -> left_eye: (-23.1, 125.1)
      neck -> right_eye: (29.1, 122.8)
      neck -> left_ear: (-60.1, 110.0)
      neck -> right_ear: (57.7, 105.5)
      neck -> left_shoulder: (-106.3, -5.6)
      neck -> right_shoulder: (109.3, 3.4)
      neck -> left_elbow: (-185.6, -137.4)
      neck -> right_elbow: (168.3, -124.0)
      neck -> left_wrist: (-160.4, -10.2)
      neck -> left_hip: (-69.9, -331.0)
      neck -> right_hip: (80.8, -329.6)
      neck -> left_knee: (-80.5, -535.1)
      neck -> right_knee: (71.3, -535.1)
    Direction Vectors (relative to neck):
      neck -> nose: (7.8, 43.1)
      neck -> left_eye: (-16.4, 63.4)
      neck -> right_eye: (35.4, 58.9)
      neck -> left_ear: (-57.6, 63.1)
      neck -> right_ear: (68.4, 56.4)
      neck -> left_shoulder: (-95.1, 5.1)
      neck -> right_shoulder: (91.5, 0.0)
      neck -> left_elbow: (-196.5, 20.3)
      neck -> right_elbow: (134.0, -21.7)
    Direction Vectors (relative to neck):
      neck -> nose: (153.8, 76.7)
      neck -> left_eye: (114.6, 106.3)
      neck -> right_eye: (155.4, 119.3)
      neck -> left_ear: (-27.3, 109.4)
      neck -> left_shoulder: (-194.3, -12.5)
      neck -> right_shoulder: (177.9, 17.8)

=== Timestamp: 25.1s ===
